run_id,stage,round_id,seed,scene_id,difficulty,planner,ablation_mode,success,time_ms,path_len,collision_checks,iters_used,goal_reached_iter,cuda_enabled,device_name,alpha_final,bridge_usage_ratio,failure_type,max_iters,sample_source_counts,alpha_trace,alpha_trace_stats,bridge_candidate_stats,leaf_plan_batches,cpu_gpu_consistency,image_path
MATRIX_rrt_2d_complex_baseline_11_1776755155441,MATRIX,0,11,2d_complex,complex,rrt,baseline,True,1000.0879239960341,1.8166483935963207,556,555,554,True,NVIDIA GeForce RTX 4060 Laptop GPU,1.0,0.0,,700,"{""goal"": 41, ""bridge"": 0, ""uniform"": 514}",[1.0],"{""alpha_min"": 1.0, ""alpha_mean"": 1.0, ""alpha_max"": 1.0}",{},0.0,True,images/2d_complex/rrt/baseline_seed_11.png
MATRIX_rrt_2d_complex_baseline_12_1776755156447,MATRIX,0,12,2d_complex,complex,rrt,baseline,True,823.0787549982779,1.955234074547808,475,474,473,True,NVIDIA GeForce RTX 4060 Laptop GPU,1.0,0.0,,700,"{""goal"": 45, ""bridge"": 0, ""uniform"": 429}",[1.0],"{""alpha_min"": 1.0, ""alpha_mean"": 1.0, ""alpha_max"": 1.0}",{},0.0,True,images/2d_complex/rrt/baseline_seed_12.png
MATRIX_rrt_2d_complex_baseline_13_1776755157322,MATRIX,0,13,2d_complex,complex,rrt,baseline,True,762.8034960071091,1.9156041711791791,451,450,449,True,NVIDIA GeForce RTX 4060 Laptop GPU,1.0,0.0,,700,"{""goal"": 40, ""bridge"": 0, ""uniform"": 410}",[1.0],"{""alpha_min"": 1.0, ""alpha_mean"": 1.0, ""alpha_max"": 1.0}",{},0.0,True,images/2d_complex/rrt/baseline_seed_13.png
MATRIX_rrt_2d_complex_baseline_14_1776755158213,MATRIX,0,14,2d_complex,complex,rrt,baseline,True,793.244007989415,1.78441916582298,475,474,473,True,NVIDIA GeForce RTX 4060 Laptop GPU,1.0,0.0,,700,"{""goal"": 35, ""bridge"": 0, ""uniform"": 439}",[1.0],"{""alpha_min"": 1.0, ""alpha_mean"": 1.0, ""alpha_max"": 1.0}",{},0.0,True,images/2d_complex/rrt/baseline_seed_14.png
MATRIX_rrt_2d_complex_baseline_15_1776755159513,MATRIX,0,15,2d_complex,complex,rrt,baseline,False,1208.761980989948,1.6565341353703478,700,700,-1,True,NVIDIA GeForce RTX 4060 Laptop GPU,1.0,0.0,timeout,700,"{""goal"": 50, ""bridge"": 0, ""uniform"": 650}",[1.0],"{""alpha_min"": 1.0, ""alpha_mean"": 1.0, ""alpha_max"": 1.0}",{},0.0,True,images/2d_complex/rrt/baseline_seed_15.png
MATRIX_rrt_2d_complex_baseline_16_1776755160462,MATRIX,0,16,2d_complex,complex,rrt,baseline,True,830.4544480051845,1.7710941296612257,473,472,471,True,NVIDIA GeForce RTX 4060 Laptop GPU,1.0,0.0,,700,"{""goal"": 34, ""bridge"": 0, ""uniform"": 438}",[1.0],"{""alpha_min"": 1.0, ""alpha_mean"": 1.0, ""alpha_max"": 1.0}",{},0.0,True,images/2d_complex/rrt/baseline_seed_16.png
MATRIX_rrt_2d_complex_baseline_17_1776755161173,MATRIX,0,17,2d_complex,complex,rrt,baseline,True,597.1205469977576,1.7871136171048312,318,317,316,True,NVIDIA GeForce RTX 4060 Laptop GPU,1.0,0.0,,700,"{""goal"": 23, ""bridge"": 0, ""uniform"": 294}",[1.0],"{""alpha_min"": 1.0, ""alpha_mean"": 1.0, ""alpha_max"": 1.0}",{},0.0,True,images/2d_complex/rrt/baseline_seed_17.png
MATRIX_rrt_2d_complex_baseline_18_1776755161606,MATRIX,0,18,2d_complex,complex,rrt,baseline,True,336.9530529889744,1.7962281879344904,218,217,216,True,NVIDIA GeForce RTX 4060 Laptop GPU,1.0,0.0,,700,"{""goal"": 25, ""bridge"": 0, ""uniform"": 192}",[1.0],"{""alpha_min"": 1.0, ""alpha_mean"": 1.0, ""alpha_max"": 1.0}",{},0.0,True,images/2d_complex/rrt/baseline_seed_18.png
MATRIX_rrt_2d_complex_baseline_19_1776755162504,MATRIX,0,19,2d_complex,complex,rrt,baseline,True,787.9296659957618,1.8259490075366318,496,495,494,True,NVIDIA GeForce RTX 4060 Laptop GPU,1.0,0.0,,700,"{""goal"": 38, ""bridge"": 0, ""uniform"": 457}",[1.0],"{""alpha_min"": 1.0, ""alpha_mean"": 1.0, ""alpha_max"": 1.0}",{},0.0,True,images/2d_complex/rrt/baseline_seed_19.png
MATRIX_rrt_2d_complex_cci_only_0_1776755163873,MATRIX,0,0,2d_complex,complex,rrt,cci_only,False,1190.0786199985305,1.1951133072844857,700,700,-1,True,NVIDIA GeForce RTX 4060 Laptop GPU,1.0,0.0,timeout,700,"{""goal"": 57, ""bridge"": 0, ""uniform"": 643}",[1.0],"{""alpha_min"": 1.0, ""alpha_mean"": 1.0, ""alpha_max"": 1.0}",{},0.0,True,images/2d_complex/rrt/cci_only_seed_0.png
